price,bedrooms,bathrooms,surface,floors,waterfront,view,condition,grade,zipcode,price_per_sqft
221900.0,3,1.0,1180,1.0,0,0,3,7,98178,188.05084745762713
538000.0,3,2.25,2570,2.0,0,0,3,7,98125,209.3385214007782
180000.0,2,1.0,770,1.0,0,0,3,6,98028,233.76623376623377
604000.0,4,3.0,1960,1.0,0,0,5,7,98136,308.16326530612247
510000.0,3,2.0,1680,1.0,0,0,3,8,98074,303.57142857142856
1225000.0,4,4.5,5420,1.0,0,0,3,11,98053,226.01476014760146
257500.0,3,2.25,1715,2.0,0,0,3,7,98003,150.14577259475217
291850.0,3,1.5,1060,1.0,0,0,3,7,98198,275.3301886792453
229500.0,3,1.0,1780,1.0,0,0,3,7,98146,128.93258426966293
323000.0,3,2.5,1890,2.0,0,0,3,7,98038,170.8994708994709
662500.0,3,2.5,3560,1.0,0,0,3,8,98007,186.09550561797752
468000.0,2,1.0,1160,1.0,0,0,4,7,98115,403.44827586206895
310000.0,3,1.0,1430,1.5,0,0,4,7,98028,216.78321678321677
400000.0,3,1.75,1370,1.0,0,0,4,7,98074,291.97080291970804
530000.0,5,2.0,1810,1.5,0,0,3,7,98107,292.81767955801104
650000.0,4,3.0,2950,2.0,0,3,3,9,98126,220.33898305084745
395000.0,3,2.0,1890,2.0,0,0,3,7,98019,208.994708994709
485000.0,4,1.0,1600,1.5,0,0,4,7,98103,303.125
189000.0,2,1.0,1200,1.0,0,0,4,7,98002,157.5
230000.0,3,1.0,1250,1.0,0,0,4,7,98003,184.0
385000.0,4,1.75,1620,1.0,0,0,4,7,98133,237.65432098765433
285000.0,5,2.5,2270,2.0,0,0,3,8,98092,125.55066079295155
252700.0,2,1.5,1070,1.0,0,0,3,7,98030,236.16822429906543
329000.0,3,2.25,2450,2.0,0,0,4,8,98030,134.28571428571428
233000.0,3,2.0,1710,1.5,0,0,5,6,98002,136.25730994152048
937000.0,3,1.75,2450,2.0,0,0,3,8,98119,382.44897959183675
667000.0,3,1.0,1400,1.5,0,0,5,8,98112,476.42857142857144
438000.0,3,1.75,1520,1.0,0,0,3,7,98115,288.1578947368421
719000.0,4,2.5,2570,2.0,0,0,3,8,98052,279.76653696498056
580500.0,3,2.5,2320,2.0,0,0,3,8,98027,250.2155172413793
280000.0,2,1.5,1190,3.0,0,0,3,7,98133,235.2941176470588
687500.0,4,1.75,2330,1.5,0,0,4,7,98117,295.06437768240346
535000.0,3,1.0,1090,1.5,0,0,4,8,98117,490.8256880733945
322500.0,4,2.75,2060,1.0,0,0,3,7,98058,156.55339805825244
696000.0,3,2.5,2300,1.5,0,0,3,8,98115,302.60869565217394
550000.0,4,1.0,1660,1.0,0,0,1,5,98052,331.32530120481925
640000.0,4,2.0,2360,2.0,0,0,4,8,98107,271.1864406779661
240000.0,4,1.0,1220,1.0,0,0,2,7,98001,196.72131147540983
605000.0,4,2.5,2620,2.0,0,0,3,8,98056,230.91603053435114
625000.0,4,2.5,2570,2.0,0,0,3,9,98074,243.19066147859922
775000.0,4,2.25,4220,1.0,0,0,3,8,98166,183.64928909952607
861990.0,5,2.75,3595,2.0,0,0,3,9,98053,239.77468706536857
685000.0,3,1.0,1570,2.0,0,0,3,7,98119,436.30573248407643
309000.0,3,1.0,1280,1.0,0,0,4,6,98058,241.40625
488000.0,3,2.5,3160,2.0,0,0,3,8,98019,154.43037974683546
210490.0,3,1.0,990,1.0,0,0,3,6,98023,212.6161616161616
785000.0,4,2.5,2290,2.0,0,0,4,9,98007,342.7947598253275
